,type,glyph,description,select,select_vals,select_rows,select_rows_scope,select_cols,modify,modify_scope,unary,conversion,settings,metadata,format,copy_df,is_type,NEW_SELECT_VALS,AND_SELECT_VALS,OR_SELECT_VALS,NEW_SELECT_ROWS,AND_SELECT_ROWS,OR_SELECT_ROWS,NEW_SELECT_COLS,AND_SELECT_COLS,OR_SELECT_COLS,MODIFY,BIGGER_EQUAL,SMALLER_EQUAL,BIGGER,SMALLER,EQUALS,CONTAINS,TRIM,INVERT,IS_ANY,IS_STR,IS_INT,IS_FLOAT,IS_NUM,IS_BOOL,IS_DATETIME,IS_DATE,IS_NA,IS_NK,IS_YN,IS_YES,IS_NO,IS_UNIQUE,IS_FIRST,IS_LAST,ADD,SET,EVAL,SORT,TO_STR,TO_INT,TO_FLOAT,TO_NUM,TO_BOOL,TO_DATETIME,TO_DATE,TO_NA,TO_NK,TO_YN,NEGATE,ANY,ALL,IDX,STRICT,SAVE_SELECTION,LOAD_SELECTION,VERBOSITY,DIFF,METADATA,TAG_METADATA,COLOR,BACKGROUND_COLOR,ALIGN,WIDTH,CSS,COLS,ROWS,VALS,NEW_COL,COL_EVAL,REGEX
type,trait,trait,trait,trait,trait,trait,trait,trait,trait,trait,trait,trait,trait,trait,trait,trait,trait,connector,connector,connector,connector,connector,connector,connector,connector,connector,connector,operator,operator,operator,operator,operator,operator,operator,operator,operator,operator,operator,operator,operator,operator,operator,operator,operator,operator,operator,operator,operator,operator,operator,operator,operator,operator,operator,operator,operator,operator,operator,operator,operator,operator,operator,operator,operator,operator,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag,flag
glyph,trait,,,,,,,,,,,,,,,,,"""%%%""","""&&&""","""///""","""%%""","""&&""","""//""","""%""","""&""","""/""","""$""",""">=""","""<=""",""">""","""<""","""==""","""?""","""trim;""","""invert;""","""is any;""","""is str;""","""is int;""","""is float;""","""is num;""","""is bool;""","""is datetime;""","""is date;""","""is na;""","""is nk;""","""is yn;""","""is yes;""","""is no;""","""is unique;""","""is first;""","""is last;""","""+=""","""=""","""~""","""sort;""","""to str;""","""to int;""","""to float;""","""to num;""","""to bool;""","""to datetime;""","""to date;""","""to na;""","""to nk;""","""to yn;""","""!""","""any""","""all""","""idx""","""strict""","""save""","""load""","""verbosity""","""diff""","""meta""","""tag""","""color""","""bg""","""align""","""width""","""css""","""cols""","""rows""","""vals""","""new""","""col""","""regex"""
description,trait,,,,,,,,,,,,,,,,,select values. disregard previous value selection,this value selection condition AND the previous condition/s must be fulfilled,this value selection condition OR the previous condition/s must be fulfilled,select rows. disregard previous row selection,this row selection condition AND the previous condition/s must be fulfilled,this row selection condition OR the previous condition/s must be fulfilled,select columns. disregard previous column selection,this column selection condition AND the previous condition/s must be fulfilled,this column selection condition OR the previous condition/s must be fulfilled,"modify settings, metadata, format, headers, values or create new columns",bigger or equal,smaller or equal,bigger,smaller,equal to,contains a string (not case sensitive),trim row/col selection based on val selection.,invert current selection,is any value (use to reset selection),is a string,is an integer,is a float,is a number,is a boolean,is a datetime,is a date,is a missing value,is not a known value,is a value representing yes or no,is a value representing yes,is a value representing no,is a unique value,is the first value (of multiple values),is the last value (of multiple values),append a string to the value (coerce to string if needed),set values,evaluate a python expression,sort values based on the selected column(s),convert to string,convert to integer,convert to float,convert to number,convert to boolean,convert to datetime,convert to date,convert to missing value,convert to not known value,convert to yes or no value,negate/invert the selection condition,select whole row if ANY value in the selected columns fulfills the condition,select whole row if ALL values in the selected columns fulfill the condition,select whole row if the index of the row fulfills the condition,"use strict comparison for selection condition (eg: case sensitive, strict typing)","save current selection with given <name>. load using: ""$load = <name>","load a saved selection of rows/values (boolean mask). save using: ""$save = <name>",change the verbosity/logging level,change if and how the difference between the old and new dataframe is shown,modify the metadata of the selected rows/values,"add a tag of the currently selected column(s) in the form of ""\n@<selected col>: <value>"" to the column named ""meta""",change the color of the selected values,change the background color of the selected values,change the alignment of the selected values,change the width of the selected values,use css to format the selected values,modify the colnames of the selected columns,modify the values in the selected rows,modify selected values,create a new column with the selected values,"when used with the eval operator, evaluates on the whole column",use regex for equality and contains operator
select,trait,,,3,1,1,1,1,0,0,1,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
select_vals,trait,,,1,3,0,0,0,0,0,1,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
select_rows,trait,,,1,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
select_rows_scope,trait,,,1,0,1,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
select_cols,trait,,,1,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
modify,trait,,,0,0,0,0,0,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
modify_scope,trait,,,0,0,0,0,0,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2,2,2,2,1,1,1,1,1,2,2,2,2,1,0
unary,trait,,,1,1,1,1,1,1,1,3,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conversion,trait,,,0,0,0,0,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
settings,trait,,,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
metadata,trait,,,0,0,0,0,0,1,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
format,trait,,,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0
copy_df,trait,,,0,0,0,0,0,1,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,2,2,2,0
is_type,trait,,,1,1,1,1,1,0,0,1,0,0,0,0,0,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEW_SELECT_VALS,connector,"""%%%""",select values. disregard previous value selection,2,2,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
AND_SELECT_VALS,connector,"""&&&""",this value selection condition AND the previous condition/s must be fulfilled,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
OR_SELECT_VALS,connector,"""///""",this value selection condition OR the previous condition/s must be fulfilled,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
NEW_SELECT_ROWS,connector,"""%%""",select rows. disregard previous row selection,2,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
AND_SELECT_ROWS,connector,"""&&""",this row selection condition AND the previous condition/s must be fulfilled,2,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
OR_SELECT_ROWS,connector,"""//""",this row selection condition OR the previous condition/s must be fulfilled,2,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
NEW_SELECT_COLS,connector,"""%""",select columns. disregard previous column selection,2,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
AND_SELECT_COLS,connector,"""&""",this column selection condition AND the previous condition/s must be fulfilled,2,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
OR_SELECT_COLS,connector,"""/""",this column selection condition OR the previous condition/s must be fulfilled,2,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MODIFY,connector,"""$""","modify settings, metadata, format, headers, values or create new columns",0,0,0,0,0,2,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
BIGGER_EQUAL,operator,""">=""",bigger or equal,2,2,2,1,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMALLER_EQUAL,operator,"""<=""",smaller or equal,2,2,2,1,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIGGER,operator,""">""",bigger,2,2,2,1,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMALLER,operator,"""<""",smaller,2,2,2,1,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EQUALS,operator,"""==""",equal to,2,2,2,1,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CONTAINS,operator,"""?""",contains a string (not case sensitive),2,2,2,1,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TRIM,operator,"""trim;""",trim row/col selection based on val selection.,2,0,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
